0.0,8.886119947416683e-17
0.005,2.5054834706017865e-08
0.01,1.822432520473657e-07
0.015,4.1530492156444537e-07
0.02,7.538814342893873e-07
0.025,1.1812345402908406e-06
0.03,1.7039859081251492e-06
0.035,2.316826753773898e-06
0.04,3.0196198384856845e-06
0.045,3.8094745053770545e-06
0.05,4.684188059404969e-06
0.055,5.6408484594693486e-06
0.06,6.676306579635489e-06
0.065,7.787044114167555e-06
0.07,8.969157179945417e-06
0.075,1.0218384766649734e-05
0.08,1.1530064860484565e-05
0.085,1.2899155349058329e-05
0.09,1.43202144713877e-05
0.095,1.5787411211987804e-05
0.1,1.7294524161449763e-05
0.105,1.8834952933614057e-05
0.11,2.0401730133911e-05
0.115,2.198754056551938e-05
0.12,2.3584745086666955e-05
0.125,2.5185410715174602e-05
0.13,2.6781346647640446e-05
0.135,2.8364146459993444e-05
0.14,2.992523640118849e-05
0.145,3.145592959643721e-05
0.15,3.294748584411027e-05
0.155,3.4391176509375024e-05
0.16,3.577835388337144e-05
0.165,3.7100524207150975e-05
0.17,3.834942342525011e-05
0.17500000000000002,3.951709458981914e-05
0.18,4.0595965736741654e-05
0.185,4.157892695109819e-05
0.19,4.245940529075489e-05
0.195,4.323143620506731e-05
0.2,4.3889730092828024e-05
0.20500000000000002,4.442973269926434e-05
0.21,4.4847678125337404e-05
0.215,4.514063335878878e-05
0.22,4.530653338206728e-05
0.225,4.534420610759212e-05
0.23,4.525338659993424e-05
0.23500000000000001,4.503472027459696e-05
0.24,4.4689755002936545e-05
0.245,4.422092229954786e-05
0.25,4.363150799736702e-05
0.255,4.292561304890646e-05
0.26,4.210810528637456e-05
0.265,4.118456315059798e-05
0.27,4.016121254636463e-05
0.275,3.904485808029697e-05
0.28,3.784281001611028e-05
0.28500000000000003,3.6562808301974385e-05
0.29,3.521294503317009e-05
0.295,3.380158665332724e-05
0.3,3.2337297143157016e-05
0.305,3.0828763328151654e-05
0.31,2.9284723332293882e-05
0.315,2.771389904733002e-05
0.32,2.612493335282732e-05
0.325,2.452633265877156e-05
0.33,2.2926415189282155e-05
0.335,2.133326526950611e-05
0.34,1.9754693743104048e-05
0.34500000000000003,1.819820450140547e-05
0.35000000000000003,1.6670966997109883e-05
0.355,1.5179794504987064e-05
0.36,1.37311278020318e-05
0.365,1.233102387347841e-05
0.37,1.0985149185694638e-05
0.375,9.698777040073157e-06
0.38,8.476788479384057e-06
0.385,7.323676217356085e-06
0.39,6.243551062270434e-06
0.395,5.24015029740429e-06
0.4,4.316847525048568e-06
0.405,3.47666347880098e-06
0.41000000000000003,2.7222773596240328e-06
0.41500000000000004,2.056038271217926e-06
0.42,1.4799763790451557e-06
0.425,9.958134459180721e-07
0.43,6.04972452326207e-07
0.435,3.085860330703651e-07
0.44,1.0750352796037908e-07
0.445,2.2964831297236447e-09
0.45,6.737677054457122e-09
0.455,8.042659657914423e-08
0.46,2.635428899758278e-07
0.465,5.420913106453815e-07
0.47000000000000003,9.152749960252138e-07
0.47500000000000003,1.3820149429176353e-06
0.48,1.940943245856149e-06
0.485,2.5903949025137587e-06
