0.0,0.0,8.01483324153196e-11,0.0,0.0,2.9316993277461734e-11,0.0,0.0,49.04673021799112,0.0
0.005,0.0,-0.016650067082667253,0.0,0.0,0.03326748996972384,0.0,0.0,49.02383817004992,0.0
0.01,0.0,-0.0072018959949677885,0.0,0.0,0.014466454748870206,0.0,0.0,48.97488819660912,0.0
0.015,-2.7076124167048472e-14,-0.012183591047689735,-7.122150275676179e-15,7.389842618638968e-15,0.02433815587778554,1.424501243015768e-15,-1.641356695431839e-15,48.88608687505267,-6.218164582419013e-27
0.02,1.7437927548513108e-19,-0.009417483305596441,-3.2966087083797415e-20,-7.259988379238569e-20,0.018957979790535262,4.0947640409883317e-20,1.0752891012962911e-20,48.76430363808163,6.900556499553857e-32
0.025,3.0369319129851276e-19,-0.01059337037439434,-1.455536252533066e-20,-1.3229011597370154e-19,0.021219571431473128,5.162047346558564e-20,1.9772162393340474e-20,48.60501747363411,1.1714425869873852e-31
0.03,4.347568974675956e-19,-0.009762235334441094,6.973019763511976e-21,-1.9323824932954127e-19,0.019665668734567987,6.112807815220194e-20,2.901606777007344e-20,48.40929706965101,1.5786243227418321e-31
0.035,5.673409999320876e-19,-0.009839404750668024,3.2283330686770193e-20,-2.554447481485031e-19,0.019785208958062128,6.913519057537303e-20,3.8491529496128757e-20,48.17517927511924,2.2258829323596747e-31
0.04,7.00994634623395e-19,-0.0094545691221537,6.194890719078222e-20,-3.187970115104252e-19,0.019071740942003146,7.532020753423059e-20,4.818703677903118e-20,47.90188721650538,2.715865312972777e-31
0.045,8.350870697832124e-19,-0.009214536671832363,9.645374854003272e-20,-3.830879547886306e-19,0.01859416516057877,7.937394498319551e-20,5.807582158117177e-20,47.58788317962236,3.26383989111045e-31
0.05,9.687394450747992e-19,-0.008869501852995398,1.361575615636196e-19,-4.4798048591419475e-19,0.017933137010480493,8.100959822672697e-20,6.810985166884651e-20,47.23174132568128,3.834417401144516e-31
0.055,1.100824798548171e-18,-0.008506183993491234,1.8128000861538967e-19,-5.130049781026619e-19,0.017222518018272126,7.99679482371231e-20,7.821937697782725e-20,46.83181628870828,4.475804321438235e-31
0.06,1.229945236718818e-18,-0.008101878715857325,2.3187581930141905e-19,-5.775454493978071e-19,0.01643277649360897,7.602623879601062e-20,8.831050350562012e-20,46.38638126987317,4.889210642552669e-31
0.065,1.3544282057343435e-18,-0.007653027053365236,2.8781403551277636e-19,-6.408348365266699e-19,0.015552673401018069,6.900680090257636e-20,9.826426274499565e-20,45.89361774970581,5.426276834567737e-31
0.07,1.4723304656631162e-18,-0.007167288549332795,3.4875833707704717e-19,-7.01953919422273e-19,0.014596178077916022,5.87865498977476e-20,1.0793623936434463e-19,45.35163380027352,5.919247166129829e-31
0.075,1.5814518662837954e-18,-0.006635504149128835,4.1414965372664904e-19,-7.598350525247697e-19,0.013547744388517913,4.5306896563508464e-20,1.1715695949455994e-19,44.758497879656545,6.461920302147293e-31
0.08,1.6793639815865647e-18,-0.006063342645870051,4.831935013371711e-19,-8.132732331293631e-19,0.0124156863741689,2.858346079538029e-20,1.2573346578464662e-19,44.11225345414644,7.055857047713627e-31
0.085,1.7634505141648975e-18,-0.005446372646048303,5.548520483197739e-19,-8.609432263911326e-19,0.011193352430595382,8.715450759724837e-21,1.3345186861096882e-19,43.410953139000114,7.292093263095429e-31
