0.0,0.0
0.0025,-2.1219648260739632e-10
0.005,-4.941398401570041e-10
0.0075,-8.342624369106488e-10
0.01,-1.2124132808821741e-09
0.0125,-1.6030128335842164e-09
0.015,-1.976957264560042e-09
0.0175,-2.304005874975701e-09
0.02,-2.555168521212181e-09
0.0225,-2.7071678232459817e-09
0.025,-2.744684479694115e-09
0.0275,-2.664279463715502e-09
0.03,-2.4749340354901506e-09
0.0325,-2.2000108401698526e-09
0.035,-1.876856003946159e-09
0.0375,-1.5542127584922127e-09
0.04,-1.2902887647214811e-09
0.0425,-1.1461054327810416e-09
0.045,-1.1822578471765155e-09
0.0475,-1.449478759241174e-09
0.05,-1.9861943201249233e-09
0.0525,-2.8106512672820827e-09
0.055,-3.919581104128156e-09
0.0575,-5.285414772515651e-09
0.06,-6.857106882307562e-09
0.0625,-8.561642061977182e-09
0.065,-1.031116880767513e-08
0.0675,-1.200439214699145e-08
0.07,-1.3536435972127947e-08
0.0725,-1.480361788708251e-08
0.075,-1.570910512782575e-08
0.0775,-1.616842837393051e-08
0.08,-1.611556399438996e-08
0.0825,-1.5503957229157095e-08
0.085,-1.4309620155472658e-08
0.08750000000000001,-1.2533035942396964e-08
0.09,-1.0199386224485352e-08
0.0925,-7.360057452387991e-09
0.095,-4.088633431820199e-09
0.0975,-4.844196155318059e-10
0.1,3.332814912937465e-09
0.10250000000000001,7.222297426778823e-09
0.105,1.102662849916669e-08
0.1075,1.4574055740013137e-08
0.11,1.7685465536487754e-08
0.1125,2.01782484055002e-08
0.115,2.187442760259728e-08
0.11750000000000001,2.261108988932392e-08
0.12,2.224672357442614e-08
0.1225,2.0675400946856826e-08
0.125,1.783425318535592e-08
0.1275,1.3715265367864049e-08
0.13,8.371301873921766e-09
0.1325,1.9228423298045527e-09
0.135,-5.441165740194265e-09
0.1375,-1.346555222880852e-08
0.14,-2.183648462050769e-08
0.14250000000000002,-3.0193547218004824e-08
0.145,-3.8143127767398255e-08
0.1475,-4.5279989535629284e-08
0.15,-5.1204864348619594e-08
0.1525,-5.5545569921378046e-08
0.155,-5.79784398269112e-08
0.1575,-5.824171012136503e-08
0.16,-5.615208920062287e-08
0.1625,-5.161419380783627e-08
0.165,-4.462540914573765e-08
0.1675,-3.5278446830488974e-08
0.17,-2.376043539698003e-08
0.17250000000000001,-1.0348998102926998e-08
0.17500000000000002,4.596330427375506e-09
0.1775,2.0640072762034833e-08
0.18,3.7282688936102204e-08
0.1825,5.397012614594132e-08
0.185,7.010734748291725e-08
0.1875,8.507157644999097e-08
0.19,9.823011737353227e-08
0.1925,1.0895792001974769e-07
0.195,1.1665855481624021e-07
0.1975,1.2079178191015671e-07
0.2,1.2089859069419617e-07
0.2025,1.1663055943245126e-07
0.20500000000000002,1.0778248338283447e-07
0.20750000000000002,9.431786907043715e-08
0.21,7.63949685733678e-08
0.2125,5.438144512481813e-08
0.215,2.8860341672043432e-08
0.2175,6.222649062692653e-10
0.22,-2.935755105681892e-08
0.2225,-5.995875085318403e-08
0.225,-8.996738642963464e-08
0.2275,-1.1813736477961356e-07
0.23,-1.4325752317745355e-07
0.2325,-1.6421827808699163e-07
0.23500000000000001,-1.8007156654675782e-07
0.23750000000000002,-1.9007657670044864e-07
0.24,-1.937333991008927e-07
0.2425,-1.907987723370752e-07
0.245,-1.8128250189874962e-07
0.2475,-1.654355514801864e-07
0.25,-1.4371966017279192e-07
0.2525,-1.1677349220917677e-07
0.255,-8.537872986380535e-08
0.2575,-5.0419004082868923e-08
0.26,-1.2849881159127108e-08
0.2625,2.6333424330005073e-08
0.265,6.611568892367359e-08
0.2675,1.0548191653469985e-07
0.27,1.4342847975967743e-07
0.2725,1.7897244219966524e-07
0.275,2.111565038376284e-07
0.2775,2.390558222487016e-07
0.28,2.6178474854532396e-07
0.28250000000000003,2.785078265787888e-07
0.28500000000000003,2.8845144584010995e-07
0.28750000000000003,2.9092959152876574e-07
0.29,2.8536825880109973e-07
0.2925,2.7134373681292345e-07
0.295,2.486244738975074e-07
0.2975,2.172217818952049e-07
0.3,1.7743423086358234e-07
0.3025,1.2989582387490373e-07
0.305,7.560612402812694e-08
0.3075,1.5941338915581582e-08
0.31,-4.7366540911752963e-08
0.3125,-1.1228618745917629e-07
0.315,-1.765836259437492e-07
0.3175,-2.379503314386966e-07
0.32,-2.941609693607461e-07
0.3225,-3.43226190580026e-07
0.325,-3.835386337414093e-07
0.3275,-4.139763518651307e-07
0.33,-4.339578367762442e-07
0.3325,-4.434416780441097e-07
0.335,-4.428701174674643e-07
0.3375,-4.3307670694048284e-07
0.34,-4.151648624883819e-07
0.3425,-3.903814160821639e-07
0.34500000000000003,-3.6000130876345793e-07
0.34750000000000003,-3.252269493714266e-07
0.35000000000000003,-2.871154549666244e-07
0.3525,-2.4653795094309316e-07
0.355,-2.0415953372321383e-07
0.3575,-1.6044441508711316e-07
0.36,-1.156838322913245e-07
0.3625,-7.003319524301332e-08
0.365,-2.3559863393529668e-08
0.3675,2.3701630880168523e-08
0.37,7.169589366640139e-08
0.3725,1.2029971685478813e-07
0.375,1.692769160399621e-07
0.3775,2.1825118778906472e-07
0.38,2.666916429916455e-07
0.3825,3.1391468269248435e-07
0.385,3.5910119322579703e-07
0.3875,4.013282932646689e-07
0.39,4.396048609578429e-07
0.3925,4.729160423266876e-07
0.395,5.002550267363404e-07
0.3975,5.206568118865107e-07
0.4,5.332144894509838e-07
0.4025,5.370895905798534e-07
0.405,5.315179123499547e-07
0.40750000000000003,5.15809801981959e-07
0.41000000000000003,4.893632876701304e-07
0.41250000000000003,4.516788578712294e-07
0.41500000000000004,4.023985411549802e-07
0.4175,3.4135510418309423e-07
0.42,2.686439017907105e-07
0.4225,1.847147927946935e-07
0.425,9.047889193425362e-08
0.4275,-1.2567085150294588e-08
0.43,-1.222104231146659e-07
0.4325,-2.354035757434758e-07
0.435,-3.4819086636161956e-07
0.4375,-4.557257113901869e-07
0.44,-5.524463801975799e-07
0.4425,-6.324519574718579e-07
0.445,-6.900989433233917e-07
0.4475,-7.207598571312701e-07
0.45,-7.216131052700803e-07
0.4525,-6.922729482994328e-07
0.455,-6.350685737288586e-07
0.4575,-5.548566264224064e-07
0.46,-4.5837367679268937e-07
0.4625,-3.5327067848811566e-07
0.465,-2.4706804424567963e-07
0.4675,-1.4626064626099833e-07
0.47000000000000003,-5.5741054438840365e-08
0.47250000000000003,2.140868105016125e-08
0.47500000000000003,8.380703775401344e-08
0.47750000000000004,1.3146447486178658e-07
0.48,1.6538476188543427e-07
0.4825,1.871905226380477e-07
0.485,1.988169344713242e-07
