0.0,0.0,1.1483165777298125,0.0,0.0,-4.020658507862375,0.0,0.0,14.939143209080239,0.0,0.0,-55.75384488642118,0.0,0.0,43.97403663677414,0.0
0.005,0.0,1.095437839494164,0.0,0.0,-3.869728719882899,0.0,0.0,14.567059882567998,0.0,0.0,-55.31773406519357,0.0,0.0,43.79762845292557,0.0
0.01,0.0,0.9377671795562527,0.0,0.0,-3.4184779347720697,0.0,0.0,13.450562084398587,0.0,0.0,-54.00707148831737,0.0,0.0,43.26721061469937,0.0
0.015,0.0,0.6785096826949059,0.0,0.0,-2.672351384284974,0.0,0.0,11.590704778444232,0.0,0.0,-51.816771800844634,0.0,0.0,42.37991616232053,0.0
0.02,0.0,0.3239905723598653,0.0,0.0,-1.6430777945043902,0.0,0.0,8.99502649885662,0.0,0.0,-48.744496682150576,0.0,0.0,41.13326523423402,0.0
0.025,0.0,-0.11509415624731238,0.0,0.0,-0.3521161328517884,0.0,0.0,5.685241966767777,0.0,0.0,-44.798916611798504,0.0,0.0,39.52827174900755,0.0
0.03,0.0,-0.6223687124657253,0.0,0.0,1.1655837223092445,0.0,0.0,1.7060130369862523,0.0,0.0,-40.00931684795425,0.0,0.0,37.57307936424237,0.0
0.035,0.0,-1.174809575985051,0.0,0.0,2.8584999819440764,0.0,0.0,-2.8671605525402857,0.0,0.0,-34.43456687375406,0.0,0.0,35.28639562172059,0.0
0.04,0.0,-1.7425234736216404,0.0,0.0,4.657183164921663,0.0,0.0,-7.923105642729931,0.0,0.0,-28.16918516249159,0.0,0.0,32.69987611315188,0.0
0.045,0.0,-2.2895591896485064,0.0,0.0,6.475427177345739,0.0,0.0,-13.315030060954298,0.0,0.0,-21.344492323539864,0.0,0.0,29.85869442172882,0.0
0.05,0.0,-2.7757991168331055,0.0,0.0,8.21420155643869,0.0,0.0,-18.866292432558208,0.0,0.0,-14.123804378517073,0.0,0.0,26.81987960552926,0.0
0.055,0.0,-3.1596711174279615,0.0,0.0,9.767819086981971,0.0,0.0,-24.381225304727227,0.0,0.0,-6.692120883984885,0.0,0.0,23.64856080310369,0.0
0.06,0.0,-3.401168260726853,0.0,0.0,11.031135423965573,0.0,0.0,-29.658887051960836,0.0,0.0,0.7576773480786493,0.0,0.0,20.412850886006957,0.0
0.065,0.0,-3.464578165295239,0.0,0.0,11.906277310734243,0.0,0.0,-34.50678233891736,0.0,0.0,8.039111676322985,0.0,0.0,17.17849437565589,0.0
0.07,0.0,-3.32045108666959,0.0,0.0,12.307618710647537,0.0,0.0,-38.75174785894897,0.0,0.0,14.983850791040554,0.0,0.0,14.00443540429126,0.0
0.075,0.0,-2.9466229733617424,0.0,0.0,12.164373866534174,0.0,0.0,-42.2462619145684,0.0,0.0,21.448843337251105,0.0,0.0,10.940130236948804,0.0
0.08,0.0,-2.3284343732667003,0.0,0.0,11.420974817058541,0.0,0.0,-44.86992631262562,0.0,0.0,27.318222161361735,0.0,0.0,8.024893357007318,0.0
0.085,0.0,-1.4585262377086818,0.0,0.0,10.036048130950569,0.0,0.0,-46.52720893019644,0.0,0.0,32.50075697813503,0.0,0.0,5.289040559783114,0.0
0.09,0.0,-0.3366825511172854,0.0,0.0,7.981120900300326,0.0,0.0,-47.143335046392195,0.0,0.0,36.924543518646814,0.0,0.0,2.7562345291271546,0.0
0.095,0.0,1.029873304357764,0.0,0.0,5.240146957734463,0.0,0.0,-46.660383457920396,0.0,0.0,40.530928170013674,0.0,0.0,0.4462959683215395,0.0
0.1,0.0,2.625496281717498,0.0,0.0,1.8106324254926123,0.0,0.0,-45.03530774887209,0.0,0.0,43.26949298577082,0.0,0.0,-1.6222245992507158,0.0
0.105,0.0,4.4244568222770395,0.0,0.0,-2.293339065916127,0.0,0.0,-42.24095912451078,0.0,0.0,45.0954629897981,0.0,0.0,-3.430285843678223,0.0
0.11,0.0,6.388860549950715,0.0,0.0,-7.036442085789016,0.0,0.0,-38.270387822797616,0.0,0.0,45.97029880357501,0.0,0.0,-4.957798066541025,0.0
0.115,0.0,8.466650645053512,0.0,0.0,-12.356640235913886,0.0,0.0,-33.14383755985303,0.0,0.0,45.865573025169766,0.0,0.0,-6.184457288731657,0.0
0.12,0.0,10.590355840602177,0.0,0.0,-18.16024197119854,0.0,0.0,-26.9170058547999,0.0,0.0,44.7695233148373,0.0,0.0,-7.091924375663872,0.0
0.125,0.0,12.6772658271472,0.0,0.0,-24.31908927899451,0.0,0.0,-19.688466214176884,0.0,0.0,42.69498023080837,0.0,0.0,-7.667035557577385,0.0
0.13,0.0,14.631525091489406,0.0,0.0,-30.671377044701153,0.0,0.0,-11.603861142078648,0.0,0.0,39.68681725726412,0.0,0.0,-7.905461485797101,0.0
