0.0,0.0,-14.857176821585675,0.0,1.9811550052357125,0.0,-6.936717523440031,0.0,44.58936264337873,0.0,-6.936717523440033,0.0,-6.936717523440031,0.0,0.0,0.0,0.0,0.0,9.81
0.005,0.0,-14.760397643425733,0.0,1.9682473705443737,0.0,-6.955281926839982,0.0,44.53131957934949,0.0,-6.932850987253385,0.0,-6.940581905614312,0.0,0.0,0.0,0.0,0.0,9.81
0.01,0.0,-14.468185519247704,0.0,1.929245408534669,0.0,-7.010644651494001,0.0,44.35643583018934,0.0,-6.921248567103191,0.0,-6.952152061301502,0.0,0.0,0.0,0.0,0.0,9.81
0.015,0.0,-13.975043249239086,0.0,1.8633315195238587,0.0,-7.10180770488481,0.0,44.062503990563826,0.0,-6.901902194571505,0.0,-6.971358987308879,0.0,0.0,0.0,0.0,0.0,9.81
0.02,0.0,-13.272232108558278,0.0,1.7692084912874044,0.0,-7.2270873704244165,0.0,43.646033203102476,0.0,-6.874799648274724,0.0,-6.99808758612544,0.0,0.0,0.0,0.0,0.0,9.81
0.025,0.0,-12.348407978727423,0.0,1.6451978919194994,0.0,-7.384088498353815,0.0,43.10253171188319,0.0,-6.8399263608225835,0.0,-7.032176582732034,0.0,0.0,0.0,0.0,0.0,9.81
0.03,0.0,-11.190509381950314,0.0,1.4893774674519675,0.0,-7.5696781136404185,0.0,42.42690070478743,0.0,-6.797267882166595,0.0,-7.073418516333232,0.0,0.0,0.0,0.0,0.0,9.81
0.035,0.0,-9.78488380556962,0.0,1.29975546912338,0.0,-7.779967446787363,0.0,41.61393243283751,0.0,-6.746812927984731,0.0,-7.12155991006823,0.0,0.0,0.0,0.0,0.0,9.81
0.04,0.0,-8.118620647412058,0.0,1.0744770336616096,0.0,-8.010313154293243,0.0,40.65889685957306,0.0,-6.688556915700697,0.0,-7.176301742812473,0.0,0.0,0.0,0.0,0.0,9.81
0.045,0.0,-6.181033639187433,0.0,0.8120537756390444,0.0,-8.255349114530187,0.0,39.55818889229946,0.0,-6.622505862874381,0.0,-7.237300360402976,0.0,0.0,0.0,0.0,0.0,9.81
0.05,0.0,-3.9652050601052125,0.0,0.5116029794010885,0.0,-8.509059307438761,0.0,38.30999377027408,0.0,-6.548680495143628,0.0,-7.304168966142057,0.0,0.0,0.0,0.0,0.0,9.81
0.055,0.0,-1.469473251702695,0.0,0.17307793491631435,0.0,-8.764899529590455,0.0,36.914913822916326,0.0,-6.46712038689675,0.0,-7.376479819514528,0.0,0.0,0.0,0.0,0.0,9.81
