time,body_1_moment_x,body_1_moment_y,body_1_moment_z,body_2_moment,body_3_moment,body_4_moment_x,body_4_moment_y,body_4_moment_z
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0011421656973719,0.0037194380558779,-3.3380620976133553e-05,0.0107363508986937,0.0293422161502323,0.0459229269859633,0.0390500944625352,0.0425555308257253
2.0,0.0022842867883098,0.007438729990165,-6.675991425884054e-05,0.021472282201736,0.0586832772512892,0.0918440406894374,0.078098656820718,0.0851093919058973
3.0,0.0034263194419688,0.0111577308109344,-0.0001001365367112,0.0322073811120965,0.0880220338015755,0.1377615278276755,0.117144170000477,0.127659929704274
4.0,0.0045682206749487,0.014876296763511,-0.0001335091284024,0.042941242262235,0.1173573423909434,0.1836735751824059,0.1561851333746705,0.1702055084223061
5.0,0.0057099483526021,0.01859428533561,-0.0001668763126701,0.0536734677266721,0.1466880657429035,0.2295783696708618,0.1952200628151342,0.2127445100559217
6.0,0.0068514611901531,0.022311555262209,-0.000200236696187,0.0644036670328914,0.1760130727554313,0.2754740984165906,0.2342474907411657,0.255275334448455
7.0,0.0079927187536228,0.0260279665301518,-0.0002335888690321,0.0751314571705714,0.2053312385403794,0.3213589488200499,0.2732659661644278,0.2977963993396988
8.0,0.0091336814605632,0.0297433803824814,-0.0002669314047655,0.0858564625991448,0.2346414444614946,0.3672311086289868,0.3122740547302379,0.340306140411049
9.0,0.0102743105805966,0.0334576593225018,-0.0003002628605076,0.0965783152536857,0.2639425781710497,0.4130887660086031,0.3512703387552393,0.382803011326732
10.0,0.0114145682357597,0.037170667117566,-0.0003335817770221,0.1072966545491251,0.2932335336451,0.458930109611519,0.390253417261421,0.4252854837710846
11.0,0.0125544182624851,0.0408822687839437,-0.0003668866810664,0.1180111336247803,0.3225132291763325,0.5047533579838278,0.4292219060789061,0.4677520475005491
12.0,0.0136938236260631,0.0445923306459871,-0.0004001760786946,0.1287214006193014,0.3517805535296076,0.5505566716255352,0.4681744376552298,0.510201210316868
13.0,0.0148327490058757,0.0483007202831629,-0.0004334484621414,0.139427117395722,0.381034419850014,0.5963382410689514,0.5071096612957704,0.5526314981486218
14.0,0.0159711599331289,0.0520073065513706,-0.0004667023076588,0.1501279532970478,0.4102737477337274,0.6420962576115157,0.5460262431104967,0.5950414550537799
15.0,0.0171090227902081,0.0557119595853395,-0.0004999360756197,0.1608235851421084,0.4394974632564657,0.6878289133847466,0.5849228660294837,0.6374296432369727
16.0,0.0182463048098348,0.0594145508007428,-0.000533148210625,0.1715136972197364,0.4687044990006002,0.7335344014229829,0.6237982298146815,0.6797946430627113
17.0,0.0193829740740208,0.0631149528960275,-0.0005663371416159,0.1821979812812784,0.497893794080938,0.7792109157319401,0.6626510510679111,0.7221350530645252
18.0,0.0205189995128231,0.0668130398539606,-0.0005995012819884,0.1928761365314428,0.5270642941691838,0.8248566513570748,0.7014800632350984,0.7644494899500401
19.0,0.0216543509028932,0.0705086869428866,-0.0006326390297132,0.2035478696174731,0.556214951517075,0.8704698044517509,0.7402840166066925,0.8067365886019268
20.0,0.0227889988658275,0.0742017707177,-0.000665748767459,0.2142128946166709,0.5853447249782262,0.9160485723452374,0.7790616783142995,0.8489950020747649
21.0,0.0239229166559226,0.077892168981693,-0.0006988288674131,0.2248709459836736,0.6144526173178949,0.961591214522416,0.8178118324719138,0.8912234016244884
22.0,0.0250560747893483,0.081579760903416,-0.0007318776773279,0.2355217396508311,0.6435375633645185,1.0070958699550336,0.8565332797189691,0.93342047658614
23.0,0.0261884464105796,0.0852644269003469,-0.0007648935347423,0.2461650118940777,0.6725985418949935,1.052560739905368,0.8952248376519839,0.9755849344697558
24.0,0.0273200055003874,0.0889460486775059,-0.0007978747624248,0.2568005063528846,0.7016345383624512,1.0979840270816077,0.9338853406568745,1.0177155009033556
25.0,0.0284507268731655,0.0926245092269739,-0.0008308196685149,0.2674279740095129,0.7306445449116856,1.1433639357049474,0.9725136398863984,1.0598109196090753
26.0,0.0295805861740516,0.0962996928271212,-0.0008637265466696,0.2780471731666187,0.759627560393316,1.1886986715765016,1.0111086032337473,1.1018699523751383
27.0,0.0307095598758425,0.0999714850415404,-0.0008965936762132,0.2886578694232275,0.7885825903767179,1.2339864421440645,1.0496691153022673,1.143891379023649
